,Title,Code,Date,Price per m² (triệu/m²),Total Price (tỷ),Area (m²),Bedroom Number,Bathroom Number,Legal Status,Furniture,District
138,Muốn DA nhanh nô đất 90m2 khu Giang Lẻ Biên Giang Hà Đông. Ngõ ô tô 7c chạy vào nhà cách QL6 - 300m,40788321.0,2025-10-01 00:00:00,51.67,4.65,90.0,0.0,0.0,NAN,NAN,Hà Đông
139,"Cần bán gấp Hà Trì 54m2, 3 tầng full nội thất, nhà rộng rãi, thoáng sáng giá chốt linh động",41452595.0,2025-09-01 00:00:00,135.18,7.3,54.0,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Đông
142,"NHÀ ĐẸP Ở NGAY- XUÂN ĐỈNH TỪ LIÊM 45Mx5T gia 6,8 ty - VỊ TRÍ SIÊU ĐẸP-Ngõ Nông gần Đỗ Nhuận",42030220.0,2025-11-01 00:00:00,151.11,6.8,45.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Bắc Từ Liêm
143,8. X tỷ ngõ 229 Minh Khai Hai Bà Trưng 40m2 x 5T MT 3.8m thang máy 7 phòng cho thuê 40tr/th,41830759.0,2025-07-01 00:00:00,215.0,8.6,40.0,7.0,7.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Hai Bà Trưng
144,"Bán CC BlueGem Tower, Tứ Hiệp, Thanh Trì, 79m2, 3PN, 2VS, 3 tỷ 950, full nội thất, giá đầu tư",41773050.0,2025-11-01 00:00:00,0.0,3.95,79.0,3.0,2.0,Hợp đồng mua bán,Đầy đủ,Thanh Trì
145,Cực hiếm bán căn hộ 2 ngủ tòa VP3 Bán Đảo Linh Đàm,41789550.0,2025-10-01 00:00:00,54.0,2.7,50.0,2.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ.,Hoàng Mai
146,"Bán nhà P. Long Biên, lô góc, ô tô tránh, kinh doanh, 50m2, 5 tầng, MT 5.2m, giá 7.5 tỷ",41969406.0,2025-11-01 00:00:00,150.0,7.5,50.0,3.0,4.0,Sổ đỏ/ Sổ hồng,Cơ bản.,Long Biên
147,Bán liền kề 84m2/ MT 6m hoàn thiện đẹp đang cho thuê 20tr/01 tháng phố Thành Trung 0962 712 ***,40459379.0,2025-12-01 00:00:00,208.33,17.5,84.0,0.0,0.0,Sổ đỏ/ Sổ hồng.,NAN,Gia Lâm
148,"Thọ Dream. Bán chung cư Dream Town Coma6 đang là chung cư có giá rẻ nhất, 2PN,3PN giá 4,2 tỉ",37068457.0,2025-03-01 00:00:00,42.86,4.2,98.0,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Nam Từ Liêm
149,"Tòa nhà mặt phố Lê Trọng Tấn 8 tầng 3 thoáng, thang máy, PCCC, GPXD, DT 182,1m2, MT 6m. Giá 75 tỷ",41530703.0,2025-09-01 00:00:00,411.8,74.99,182.1,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Thanh Xuân
150,"Cuối năm gia đình em bán gấp lô đất sát KĐT Thiên Mã giá 1,7 tỷ full thổ cư, siêu đẹp và tiềm năng",41975835.0,2025-02-01 00:00:00,24.29,1.7,70.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Sơn Tây
151,"Tôi chính chủ bán căn 2PN DT 73m2 chung cư Legend Nguyễn Tuân, giá 6,5 tỷ đầy đủ nội thất cao cấp",33933160.0,2025-02-01 00:00:00,89.04,6.5,73.0,2.0,2.0,NAN,NAN,Thanh Xuân
152,"Chính chủ bán BT Nguyệt Quế 17, 355m2, hướng ĐN, view sông nhìn hồ, Vinhomes Harmony giá 75 tỷ",39874037.0,2025-03-01 00:00:00,211.27,75.0,355.0,0.0,0.0,Sổ đỏ/ Sổ hồng,Không nội thất.,Long Biên
153,"Bán nhà Tây Hồ 43m2 6 tầng thang máy 8,6 tỷ",41490775.0,2025-08-01 00:00:00,200.0,8.6,43.0,5.0,4.0,Sổ đỏ/ Sổ hồng,Cơ bản,Tây Hồ
154,"Chỉ cần 800tr sở hữu căn Studio tòa P2, hướng Đông Nam, view nội khu rất đẹp",41779306.0,2025-03-01 00:00:00,0.0,0.0,27.3,0.0,0.0,Hợp đồng mua bán,Không nội thất,Gia Lâm
155,"Không ở cần bán nhà măt phố hồng hà, ở và kinh doanh siêu vip: lh xem nhà: 0981 664 ***",42008516.0,2025-08-01 00:00:00,0.0,0.0,105.0,0.0,0.0,Sổ đỏ/ Sổ hồng,Cơ bản,Hoàn Kiếm
156,"Bán đất TĐC Cổ Linh - Thạch Bàn, ô tô tránh, vỉa hè, kinh doanh, 100m2, mặt tiền rộng, giá 21,5 tỷ",41870455.0,2025-12-01 00:00:00,215.0,21.5,100.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Long Biên
